ind,pop
HGDP01300,Uygur
HGDP01301,Uygur
HGDP01302,Uygur
HGDP01303,Uygur
HGDP01304,Uygur
HGDP01305,Uygur
HGDP01306,Uygur
HGDP01307,Dai
HGDP01308,Dai
HGDP01309,Dai
HGDP01310,Dai
HGDP01311,Dai
HGDP01312,Dai
HGDP01313,Dai
HGDP01314,Dai
HGDP01315,Dai
HGDP01316,Dai
HGDP01317,Lahu
HGDP01318,Lahu
HGDP01319,Lahu
HGDP01320,Lahu
HGDP01321,Lahu
HGDP01322,Lahu
HGDP01323,Lahu
HGDP01326,Lahu
HGDP01327,She
HGDP01328,She
HGDP01329,She
HGDP01330,She
HGDP01331,She
HGDP01332,She
HGDP01333,She
HGDP01334,She
HGDP01335,She
HGDP01336,She
HGDP01337,Naxi
HGDP01338,Naxi
HGDP01339,Naxi
HGDP01340,Naxi
HGDP01341,Naxi
HGDP01342,Naxi
HGDP01344,Naxi
HGDP01345,Naxi
HGDP01346,Naxi
HGDP01347,Tu
HGDP01348,Tu
HGDP01349,Tu
HGDP01350,Tu
HGDP01351,Tu
HGDP01352,Tu
HGDP01353,Tu
HGDP01354,Tu
HGDP01355,Tu
HGDP01356,Tu
HGDP01357,Basque_French
HGDP01358,Basque_French
HGDP01359,Basque_French
HGDP01360,Basque_French
HGDP01362,Basque_French
HGDP01363,Basque_French
HGDP01364,Basque_French
HGDP01365,Basque_French
HGDP01366,Basque_French
HGDP01367,Basque_French
HGDP01368,Basque_French
HGDP01370,Basque_French
HGDP01371,Basque_French
HGDP01373,Basque_French
HGDP01374,Basque_French
HGDP01375,Basque_French
HGDP01377,Basque_French
HGDP01378,Basque_French
HGDP01379,Basque_French
HGDP01380,Basque_French
HGDP01381,Adygei
HGDP01382,Adygei
HGDP01383,Adygei
HGDP01385,Adygei
HGDP01386,Adygei
HGDP01387,Adygei
HGDP01396,Adygei
HGDP01397,Adygei
HGDP01398,Adygei
HGDP01399,Adygei
HGDP01400,Adygei
HGDP01401,Adygei
HGDP01402,Adygei
HGDP01403,Adygei
HGDP01404,Adygei
NA13626,Adygei
NA13619,Adygei
HGDP01405,BantuKenya
HGDP01408,BantuKenya
HGDP01414,BantuKenya
HGDP01417,BantuKenya
HGDP01418,BantuKenya
HGDP01419,BantuKenya
Ayodo_21S,Somali
Ayodo_23S,Somali
Ayodo_69S,Somali
Ayodo_90S,Somali
Ayodo_43S,Somali
Ayodo_81S,Somali
Ayodo_52S,Somali
Ayodo_61S,Somali
Ayodo_41S,Somali
Ayodo_40S,Somali
Ayodo_34S,Somali
Ayodo_35S,Somali
Ayodo_5S,Somali
Ayodo_47K,Kikuyu
Ayodo_67K,Kikuyu
Ayodo_61K,Kikuyu
Ayodo_83K,Kikuyu
mixe0029,Mixe
mixe0030,Mixe
mixe0015,Mixe
mixe0035,Mixe
mixe0018,Mixe
mixe0026,Mixe
mixe0027,Mixe
mixe0028,Mixe
mixe0007,Mixe
mixe0009,Mixe
IHW9118,Australian_ECCAC
IHW9195,Australian_ECCAC
IHW9193,Australian_ECCAC
Ayodo_103M,Masai_Ayodo
Ayodo_101M,Masai_Ayodo
Bar08,Hadza_Henn
Bar10,Hadza_Henn
Bar13,Hadza_Henn
End08,Hadza_Henn
Bar04,Hadza_Henn
AD_066,AA_Denver
AD_064,AA_Denver
AD_505,AA_Denver
AD_523,AA_Denver
AD_500,AA_Denver
AD_510,AA_Denver
AD_015,AA_Denver
AD_061,AA_Denver
AD_076,AA_Denver
AD_512,AA_Denver
AD_006,AA_Denver
AD_511,AA_Denver
SD60_297,Saami_WGA
BulgarianD6,Bulgarian
BulgarianA4,Bulgarian
BulgarianE2,Bulgarian
BulgarianB4,Bulgarian
BulgarianA1,Bulgarian
BulgarianB1,Bulgarian
BulgarianC1,Bulgarian
BulgarianF1,Bulgarian
BulgarianH2,Bulgarian
BulgarianF2,Bulgarian
hungary3,Hungarian_Metspalu
hungary6,Hungarian_Metspalu
HungarianC5,Hungarian_Metspalu
hungary7,Hungarian_Metspalu
HungarianE5,Hungarian_Metspalu
HungarianH3,Hungarian_Metspalu
hungary15,Hungarian_Metspalu
hungary20,Hungarian_Metspalu
hungary2,Hungarian_Metspalu
HungarianD1,Hungarian_Metspalu
LithuanianF1,Lithuanian
lithuania3,Lithuanian
lithuania10,Lithuanian
lithuania9,Lithuanian
LithuanianA1,Lithuanian
LithuanianE2,Lithuanian
lithuania1,Lithuanian
lithuania8,Lithuanian
lithuania2,Lithuanian
LithuanianD1,Lithuanian
iran19,Iranian
